species_id,common_name_en,common_name_zh,scientific_name,species_type,iucn_status,china_protection_level,provinces,latitude,longitude,habitat_description,year,population,trend_direction,trend_percent_change,data_quality,primary_threats,conservation_measures,short_description
1,Giant Panda,大熊猫,Ailuropoda melanoleuca,Mammal,Vulnerable,National Level I,"Sichuan, Shaanxi, Gansu",31,103.5,"Mountain bamboo forests, 1200-3400m elevation",2005,1596,increasing,0,confirmed,"Habitat fragmentation, Climate change affecting bamboo, Low reproduction rate","67 nature reserves, Habitat corridors, Captive breeding programs","Icon of conservation success. Once down to 1,000 individuals in the 1980s, pandas have recovered thanks to decades of habitat protection and breeding programs."
1,Giant Panda,大熊猫,Ailuropoda melanoleuca,Mammal,Vulnerable,National Level I,"Sichuan, Shaanxi, Gansu",31,103.5,"Mountain bamboo forests, 1200-3400m elevation",2010,1600,increasing,0.25,estimate,"Habitat fragmentation, Climate change affecting bamboo, Low reproduction rate","67 nature reserves, Habitat corridors, Captive breeding programs","Icon of conservation success. Once down to 1,000 individuals in the 1980s, pandas have recovered thanks to decades of habitat protection and breeding programs."
1,Giant Panda,大熊猫,Ailuropoda melanoleuca,Mammal,Vulnerable,National Level I,"Sichuan, Shaanxi, Gansu",31,103.5,"Mountain bamboo forests, 1200-3400m elevation",2015,1864,increasing,16.8,confirmed,"Habitat fragmentation, Climate change affecting bamboo, Low reproduction rate","67 nature reserves, Habitat corridors, Captive breeding programs","Icon of conservation success. Once down to 1,000 individuals in the 1980s, pandas have recovered thanks to decades of habitat protection and breeding programs."
1,Giant Panda,大熊猫,Ailuropoda melanoleuca,Mammal,Vulnerable,National Level I,"Sichuan, Shaanxi, Gansu",31,103.5,"Mountain bamboo forests, 1200-3400m elevation",2020,1800,increasing,12.8,estimate,"Habitat fragmentation, Climate change affecting bamboo, Low reproduction rate","67 nature reserves, Habitat corridors, Captive breeding programs","Icon of conservation success. Once down to 1,000 individuals in the 1980s, pandas have recovered thanks to decades of habitat protection and breeding programs."
1,Giant Panda,大熊猫,Ailuropoda melanoleuca,Mammal,Vulnerable,National Level I,"Sichuan, Shaanxi, Gansu",31,103.5,"Mountain bamboo forests, 1200-3400m elevation",2023,1900,increasing,19,estimate,"Habitat fragmentation, Climate change affecting bamboo, Low reproduction rate","67 nature reserves, Habitat corridors, Captive breeding programs, Giant Panda National Park established","Icon of conservation success. Once down to 1,000 individuals in the 1980s, pandas have recovered thanks to decades of habitat protection and breeding programs."
2,Yangtze Finless Porpoise,江豚,Neophocaena asiaeorientalis asiaeorientalis,Mammal,Critically Endangered,National Level I,"Hubei, Hunan, Jiangxi, Anhui, Jiangsu",30.5,116,"Yangtze River main stem, Poyang Lake, Dongting Lake",2006,1800,declining,0,confirmed,"Bycatch in fishing, Vessel strikes, Habitat degradation, Pollution, Dams","Fishing ban (10-year), Protected areas, Ex-situ conservation, Captive breeding",World's only freshwater porpoise. Lives in Yangtze River and connected lakes. Critically endangered with accelerating decline due to human river activities.
2,Yangtze Finless Porpoise,江豚,Neophocaena asiaeorientalis asiaeorientalis,Mammal,Critically Endangered,National Level I,"Hubei, Hunan, Jiangxi, Anhui, Jiangsu",30.5,116,"Yangtze River main stem, Poyang Lake, Dongting Lake",2012,1045,declining,-41.9,confirmed,"Bycatch in fishing, Vessel strikes, Habitat degradation, Pollution, Dams","Fishing ban (10-year), Protected areas, Ex-situ conservation, Captive breeding",World's only freshwater porpoise. Lives in Yangtze River and connected lakes. Critically endangered with accelerating decline due to human river activities.
2,Yangtze Finless Porpoise,江豚,Neophocaena asiaeorientalis asiaeorientalis,Mammal,Critically Endangered,National Level I,"Hubei, Hunan, Jiangxi, Anhui, Jiangsu",30.5,116,"Yangtze River main stem, Poyang Lake, Dongting Lake",2017,1012,declining,-43.8,confirmed,"Bycatch in fishing, Vessel strikes, Habitat degradation, Pollution, Dams","Fishing ban (10-year), Protected areas, Ex-situ conservation, Captive breeding",World's only freshwater porpoise. Lives in Yangtze River and connected lakes. Critically endangered with accelerating decline due to human river activities.
2,Yangtze Finless Porpoise,江豚,Neophocaena asiaeorientalis asiaeorientalis,Mammal,Critically Endangered,National Level I,"Hubei, Hunan, Jiangxi, Anhui, Jiangsu",30.5,116,"Yangtze River main stem, Poyang Lake, Dongting Lake",2022,1249,recovering,-30.6,confirmed,"Bycatch in fishing, Vessel strikes, Habitat degradation, Pollution, Dams","Fishing ban (10-year starting 2021), Protected areas, Ex-situ conservation, Captive breeding, Upgraded to Level I protection",World's only freshwater porpoise. Lives in Yangtze River and connected lakes. Shows recovery signs after fishing ban implementation.
3,South China Tiger,华南虎,Panthera tigris amoyensis,Mammal,Critically Endangered (Possibly Extinct in Wild),National Level I,"Historically: Hunan, Guangdong, Fujian, Jiangxi",28,113,Mountain forests in southern and central China,2005,0,extinct_wild,-100,confirmed,"Habitat loss, Poaching, Human-wildlife conflict","Captive breeding (~200 individuals), Nature reserves, Reintroduction attempts",Most endangered tiger subspecies. No confirmed wild sightings since 1990s. Only survives in captivity with ~200 individuals in breeding programs.
3,South China Tiger,华南虎,Panthera tigris amoyensis,Mammal,Critically Endangered (Possibly Extinct in Wild),National Level I,"Historically: Hunan, Guangdong, Fujian, Jiangxi",28,113,Mountain forests in southern and central China,2010,0,extinct_wild,-100,confirmed,"Habitat loss, Poaching, Human-wildlife conflict","Captive breeding (~200 individuals), Nature reserves, Reintroduction attempts",Most endangered tiger subspecies. No confirmed wild sightings since 1990s. Only survives in captivity with ~200 individuals in breeding programs.
3,South China Tiger,华南虎,Panthera tigris amoyensis,Mammal,Critically Endangered (Possibly Extinct in Wild),National Level I,"Historically: Hunan, Guangdong, Fujian, Jiangxi",28,113,Mountain forests in southern and central China,2015,0,extinct_wild,-100,confirmed,"Habitat loss, Poaching, Human-wildlife conflict","Captive breeding (~200 individuals), Nature reserves, Reintroduction attempts",Most endangered tiger subspecies. No confirmed wild sightings since 1990s. Only survives in captivity with ~200 individuals in breeding programs.
3,South China Tiger,华南虎,Panthera tigris amoyensis,Mammal,Critically Endangered (Possibly Extinct in Wild),National Level I,"Historically: Hunan, Guangdong, Fujian, Jiangxi",28,113,Mountain forests in southern and central China,2020,0,extinct_wild,-100,confirmed,"Habitat loss, Poaching, Human-wildlife conflict","Captive breeding (~200 individuals), Nature reserves, Reintroduction attempts",Most endangered tiger subspecies. No confirmed wild sightings since 1990s. Only survives in captivity with ~200 individuals in breeding programs.
3,South China Tiger,华南虎,Panthera tigris amoyensis,Mammal,Critically Endangered (Possibly Extinct in Wild),National Level I,"Historically: Hunan, Guangdong, Fujian, Jiangxi",28,113,Mountain forests in southern and central China,2023,0,extinct_wild,-100,confirmed,"Habitat loss, Poaching, Human-wildlife conflict","Captive breeding (~200 individuals), Nature reserves, Reintroduction attempts",Most endangered tiger subspecies. No confirmed wild sightings since 1990s. Only survives in captivity with ~200 individuals in breeding programs.
4,Golden Snub-nosed Monkey,川金丝猴,Rhinopithecus roxellana,Mammal,Endangered,National Level I,"Sichuan, Shaanxi, Gansu, Hubei",32.5,105,"Mountain forests, 1500-3400m elevation",2005,15000,stable,0,estimate,"Urban development, Agricultural expansion, Hunting, Habitat fragmentation","State protection programs, Yunnan Golden Monkey Protection Network, Multiple reserves",Endemic to China. Named for distinctive upturned nose. Lives in mountain forests at high altitudes in family groups.
4,Golden Snub-nosed Monkey,川金丝猴,Rhinopithecus roxellana,Mammal,Endangered,National Level I,"Sichuan, Shaanxi, Gansu, Hubei",32.5,105,"Mountain forests, 1500-3400m elevation",2010,18000,increasing,20,estimate,"Urban development, Agricultural expansion, Hunting, Habitat fragmentation","State protection programs, Yunnan Golden Monkey Protection Network, Multiple reserves",Endemic to China. Named for distinctive upturned nose. Lives in mountain forests at high altitudes in family groups.
4,Golden Snub-nosed Monkey,川金丝猴,Rhinopithecus roxellana,Mammal,Endangered,National Level I,"Sichuan, Shaanxi, Gansu, Hubei",32.5,105,"Mountain forests, 1500-3400m elevation",2015,20000,increasing,33.3,estimate,"Urban development, Agricultural expansion, Hunting, Habitat fragmentation","State protection programs, Yunnan Golden Monkey Protection Network, Multiple reserves",Endemic to China. Named for distinctive upturned nose. Lives in mountain forests at high altitudes in family groups.
4,Golden Snub-nosed Monkey,川金丝猴,Rhinopithecus roxellana,Mammal,Endangered,National Level I,"Sichuan, Shaanxi, Gansu, Hubei",32.5,105,"Mountain forests, 1500-3400m elevation",2020,23000,increasing,53.3,estimate,"Urban development, Agricultural expansion, Hunting, Habitat fragmentation","State protection programs, Yunnan Golden Monkey Protection Network, Multiple reserves",Endemic to China. Named for distinctive upturned nose. Lives in mountain forests at high altitudes in family groups.
4,Golden Snub-nosed Monkey,川金丝猴,Rhinopithecus roxellana,Mammal,Endangered,National Level I,"Sichuan, Shaanxi, Gansu, Hubei",32.5,105,"Mountain forests, 1500-3400m elevation",2023,23000,stable,53.3,estimate,"Urban development, Agricultural expansion, Hunting, Habitat fragmentation","State protection programs, Yunnan Golden Monkey Protection Network, Multiple reserves",Endemic to China. Named for distinctive upturned nose. Lives in mountain forests at high altitudes in family groups.
5,Crested Ibis,朱鹮,Nipponia nippon,Bird,Endangered,National Level I,"Shaanxi, Henan, Zhejiang",33.8,107.5,"Wetlands, rice paddies, forested areas near water",2005,600,increasing,7471.4,estimate,"Habitat loss, Pesticide use, Limited genetic diversity","Captive breeding, Reintroduction programs, Habitat restoration, Protected areas","Dramatic conservation success. Rediscovered in 1981 with only 7 individuals. Now over 5,000 through intensive breeding and reintroduction programs."
5,Crested Ibis,朱鹮,Nipponia nippon,Bird,Endangered,National Level I,"Shaanxi, Henan, Zhejiang",33.8,107.5,"Wetlands, rice paddies, forested areas near water",2010,1500,increasing,21328.6,estimate,"Habitat loss, Pesticide use, Limited genetic diversity","Captive breeding, Reintroduction programs, Habitat restoration, Protected areas","Dramatic conservation success. Rediscovered in 1981 with only 7 individuals. Now over 5,000 through intensive breeding and reintroduction programs."
5,Crested Ibis,朱鹮,Nipponia nippon,Bird,Endangered,National Level I,"Shaanxi, Henan, Zhejiang",33.8,107.5,"Wetlands, rice paddies, forested areas near water",2015,2000,increasing,28471.4,estimate,"Habitat loss, Pesticide use, Limited genetic diversity","Captive breeding, Reintroduction programs, Habitat restoration, Protected areas","Dramatic conservation success. Rediscovered in 1981 with only 7 individuals. Now over 5,000 through intensive breeding and reintroduction programs."
